Interface Hourly 'Power Flow (MW)' Data for Year 2034

(From the first hour of 1/1/2034 to the last hour of 12/31/2034. Column identifier -- InterfaceName)

Date, Hour, TOU,zzz N Path 18 Exp 2,Pth IPC Midpoint West,P03 West Side NW-BC S-N,P84 Harry AllenEldorado 500 kV N-S,P85 Aeolus West Path (Post Gateway) E-W,P86 West of John Day E-W,P87 West of McNary E-W,P88 West of Slatt E-W,P89 Southern Nevada Transmission Interface+ N-S,P41 Sylmar to SCE N-S,P79 TOT 2B2 N-S,TransbayCable Pittsburg - Potrero,Pth 02 Central Ferry - Lower Monumental,AA01_NPC,AA02_ClearwaterGen,AA03_Colstrip,W01_AB_AESO__BC_BCHA_1,W24_BS_IPCO__SW_NVE_1,W26_BS_PACE__CA_LDWP_1,W27_BS_PACE__RM_WACM_1,W28_BS_PACE__SW_AZPS_1,W29_BS_PACE__SW_NVE_1,W30_BS_PACE__SW_WALC_1,Pth 03 Delaney-Palo Verde,W06_NW_BPAT+__BC_BCHA_1,W09_NW_BPAT+__CA_LDWP_1,W13_NW_BPAT+__SW_NVE_1,W18_NW_PACW__CA_CISO_1,W56_CA_CISO__CA_BANC+_1,W31_RM_PSCO__SW_PNM_1,W32_RM_WACM__RM_PSCO_1,W33_RM_WACM__SW_PNM_1,W34_RM_WACM__SW_WALC_1,W35_SW_AZPS__CA_CISO_1,Pth 04 Delaney-Sun Valley,W36_SW_AZPS__CA_IID_1,W37_SW_AZPS__CA_LDWP_1,W38_SW_AZPS__SW_PNM_1,W39_SW_AZPS__SW_SRP_1,W40_SW_AZPS__SW_TEPC_1,W41_SW_AZPS__SW_WALC_1,W42_SW_NVE__CA_CISO_1,W43_SW_NVE__CA_LDWP_1,W44_SW_NVE__SW_WALC_1,W45_SW_PNM__SW_EPE_1,Pth 05 Desert Basin - Pinal Central,W48_SW_SRP__SW_TEPC_1,W49_SW_SRP__SW_WALC_1,W50_SW_TEPC__SW_EPE_1,W51_SW_TEPC__SW_PNM_1,W52_SW_WALC__CA_CISO_1,W53_SW_WALC__CA_IID_1,W54_SW_WALC__CA_LDWP_1,W55_SW_WALC__SW_TEPC_1,Wa1_SW_TH_PV__CA_CISO_1,Wa2_SW_TH_PV__SW_AZPS_1,Pth 14 I-5 Reforce Castle Rock-Troutdale,Wa3_SW_TH_PV__SW_SRP_1,Wb6_SW_TH_Mead__CA_LDWP_1,Wb5_SW_TH_Mead__CA_CISO_1,Wb1_SW_TH_Mead__SW_WALC_1,Wb3_SW_TH_Mead__SW_AZPS_1,W_CA_AB32_NW-CA_1,W_CA_AB32_SW-CA_1,W58_CA_IID__CA_CISO_1,W59_CA_LDWP__CA_CISO_1,W57_CA_CISO__CA_CFE_1,Pth 15 Interior-Lower Mainland,Wc4_NW_TH_Malin__CA_CISO_1,Wc3_NW_TH_Malin__CA_BANC+_1,W02_AB_AESO__NW_NWMT+_1,W14_NW_NWMT+__BS_PACE_1,W17_NW_NWMT+__RM_WACM_1,W06_NW_BPAT+__BC_BCHA_Limit,W_Iface_Idaho-NW_Limit,W_Iface_Montana-NW_Limit,Pth 16 Morgan-Sun Valley,Pth 17 Northwest TL,Pth 19 P8 Upgrade,zzz N Path 18 Imp 2,Pth 20 Pinal Central-Tortolita,Pth 21 PW Pinal Central-Browning,Pth 01 Hemingway-Longhorn,Pth 23 Wallula-McNary,Pth 06 Paloverde - Colorado River,Pth BPA West of John Day,Pth BPA West of McNary,Pth BPA West of Slatt,Pth BPA North of Hanford,Pth BPA Net COB (NW AC Intertie),zzz N Path 22_part1,Pth BPA Raver-Paul,Pth BPA South of Boundary,Pth BPA Paul-Allston,Pth BPA West of Lower Monumental,Pth BPA Columbia Injection,Pth BPA North of Echo Lake,Pth BPA South of Custer,Pth ATC _IPP DC pole balancing,Pth ATC _PDCI DC pole balancing,Pth BPA Northwest AC Intertie (NWACI),zzz N Path 22_part2,Pth 5575 TotBEast wB2H,Pth 14 Idaho to Northwest wB2H,Pth BPA NWACI + PDCI,Pth BPA North of Grizzly,Pth BPA North of Pearl,P27 Intermountain Power Project DC Line NE-SW,P01 Alberta-British Columbia E-W,P02 Alberta-Saskatchewan W-E,P03 Northwest-British Columbia S-N,P04 West of Cascades-North E-W,Pth AZPS xy AZ-CA,P05 West of Cascades-South E-W,P06 West of Hatwai E-W,P08 Montana to Northwest E-W,P14 Idaho to Northwest E-W,P15 Midway-LosBanos S-N,P16 Idaho-Sierra N-S,P17 Borah West E-W,P18 Montana-Idaho N-S,P19 Bridger West E-W,P20 Path C N-S,Pth PAC Aeolus South,P24 PG&E-Sierra W-E,P25 PacifiCorp/PG&E 115 kV Interconnection N-S,P26 Northern-Southern California N-S,P28 Intermountain-Mona 345 kV W-E,P29 Intermountain-Gonder 230 kV E-W,P30 TOT 1A E-W,P31 TOT 2A N-S,P32 Pavant-Gonder InterMtn-Gonder 230 kV E-W,P33 Bonanza West E-W,P35 TOT 2C N-S,Pth SRP Palo Verde East,P36 TOT 3 N-S,P38 TOT 4B SE-NW,P39 TOT 5 W-E,P40 TOT 7 N-S,P42 IID-SCE E-W,P45 SDG&E-CFE N-S,P46 West of Colorado River (WOR) E-W,P47 Southern New Mexico (NM1) N-S,P48 Northern New Mexico (NM2) N-S,P49 East of Colorado River (EOR) E-W,Pth LADWP IPP DC South,P52 Silver Peak-Control 55 kV E-W,P54 Coronado-Silver King 500 kV N-S,P55 Brownlee East W-E,P58 Eldorado-Mead 230 kV Lines W-E,P59 WALC Blythe - SCE Blythe 161 kV Sub E-W,P60 Inyo-Control 115 kV Tie W-E,P61 Lugo-Victorville 500 kV Line N-S,P62 Eldorado-McCullough 500 kV Line S-N,P65 Pacific DC Intertie (PDCI) N-S,P66 COI N-S,Pth LADWP PDCI South,P71 South of Allston N-S,P75 Hemingway-Summer Lake E-W,P76 Alturas Project N-S,P77 Crystal-Allen N-S,P78 TOT 2B1 N-S,P80 Montana Southeast E-W,P82 TotBeast W-E,P83 Montana Alberta Tie Line N-S,P81 Southern Nevada Transmission Interface N-S,P03 East Side  NW-BC S-N
1/1/2034,1,OffPeak,0,27.12752,-1034.325,342.0275,1284.079,1933.772,1520.303,1046.77,920.5153,497.5387,-134.8437,160,421.904,0,783.75,1631.517,125.9464,-98.45422,-61.14664,545.5408,-32.44077,-308.3128,-79.45268,1352.405,-1391.686,-193.8772,3.596247,65.04349,209.1436,-67.00621,-31.71653,-512.4346,-33.21231,176.7366,549.7864,14.06806,-1.118862,-54.23839,1.425562E-03,-21.58994,-441.5644,247.2856,203.6433,-21.18537,1.019822E-03,-28.83751,-36.30659,-193.2385,-287.4206,178.4417,62.1368,12.00125,136.3332,151.636,608.3604,583.3643,0,304.9753,593.2374,-8.791772E-04,-168.0297,99.61235,4.702749,8369.265,247.7927,9.842889E-04,-799.9998,1839.393,-361.2685,-143.5219,-151.1451,216.6784,124.5619,-1391.686,-34.65886,1637.418,-329.9829,93.16929,0,0,0,0,0,15.82992,0,1933.772,1518.807,1046.77,-201.5237,123.7632,0,307.8649,593.5015,-68.37302,1803.028,-250.8799,-186.8382,477.304,10.00004,-0.6771564,-41.79531,0,-328.1916,601.4203,-234.3688,1035.055,389.0526,922.2995,148.5885,0.1,-1414.328,4954.932,1193.657,4092.514,285.4787,2200.005,647.6592,2444.963,-90.23649,1492.123,83.18544,1858.717,49.81258,310.8377,-149.2752,74.81642,-1876.835,38.49469,-38.55282,-153.3606,-735.1694,-41.79843,42.07992,-260.455,4528.696,1187.616,-348.6564,-32.47249,287.5668,563.4353,-799.9997,8469.683,-177.2701,-932.3625,5764.187,906.577,-6.150196,114.4769,829.6209,-167.7207,43.70603,-56.00011,1014.415,109.3752,-192.5735,123.7632,96.6,682.9456,269.2318,-165.5585,187.3916,-166.4339,46.79217,291.1574,173.7872,215.9895,-380.0023
1/1/2034,2,OffPeak,0,4.881328,-1119.841,366.119,1378.276,1658.843,1375.977,1007.131,1126.726,551.5574,-95.01497,0,387.6435,0,604.6666,2064.238,-116.0773,-65.49217,-2.568664E-03,233.3561,32.69679,-198.6491,-36.59374,1328.66,-1478.09,-427.3117,42.13169,74.36712,38.49676,-22.0689,-489.6342,-368.6448,-15.29017,161.848,559.9232,11.89733,-6.587039,-151.3826,-14.71363,-20.50221,-411.358,298.2438,273.6198,-18.30511,12.27912,-34.14404,-165.7461,-331.6856,-242.5007,48.4693,51.93748,11.9888,128.5094,148.7797,527.7891,537.7916,0,431.1192,587.0718,18.5274,-140.2263,196.8178,79.96102,8364.546,260.9874,-2.633575E-03,-799.9994,1811.583,-130.3519,-32.33339,-176.0786,308.3312,158.606,-1478.09,-185.0161,1656.217,-334.8698,91.69196,0,0,0,0,0,-20.60395,0,1658.843,1374.5,1007.131,-80.32787,424.0307,0,304.1443,571.0004,-44.72428,1704.925,-269.362,-287.9096,657.6742,5.90353,-8.711696,294.1781,0,-277.6701,526.2788,-126.7973,1276.88,322.2745,930.0959,-94.32566,0.1,-1499.841,4598.806,1157.126,3861.014,307.582,2200.004,514.1145,2032.75,-64.01865,1325.255,135.4678,1941.391,120.8208,344.0819,-147.2587,83.24179,-1442.086,-22.75753,-20.19319,-28.45204,-511.8964,-13.82885,149.9881,-169.3639,4673.443,993.8911,-354.9761,-217.4435,217.2094,561.4753,-799.9993,8346.487,-162.8862,-971.9557,5520.712,914.1072,-11.38802,123.5284,891.7738,-166.0399,39.82138,-56,1018.562,70.2093,-420.9754,424.0307,209.3,884.1316,240.2313,-129.8523,153.0625,-106.5194,101.9349,411.3114,197.8303,389.4534,-380.0007
1/1/2034,3,OffPeak,0,8.373566,-948.023,422.7907,1355.12,1553.691,1390.956,1000.839,917.6271,595.3817,-35.35507,80,355.9307,0,103.2811,2548,-425.5906,43.80621,4.05808,201.3174,154.7299,-30.40339,24.41237,1316.031,-1213.379,-341.873,59.72842,79.87431,4.020892E-04,14.90165,-770.9714,-224.5273,-5.584428,169.2292,566.9629,12.17809,-6.286562E-05,-188.0257,-138.6632,-11.46471,-418.3965,325.6234,245.6025,-21.7818,41.17353,-68.24678,-201.0612,-390.9174,-280.1212,-75.98203,58.02851,4.269434,131.9727,151.3648,374.7801,537.1203,0,584.7996,568.8408,-51.17403,-142.027,221.8419,322.8716,8036.166,269.1718,141.8777,-799.9993,1688.559,7.177828E-04,37.54458,-225.4238,300.0028,174.2799,-1213.379,-34.93229,1764.253,-338.0083,90.31319,0,0,0,0,0,-39.1654,0,1553.691,1389.498,1000.839,-117.761,577.2446,0,240.2164,471.553,-104.8604,1608.774,-266.6428,-205.9374,533.7422,6.999969,-10,464.1584,0,-351.4187,640.6966,126.3452,1293.927,292.5651,918.9995,-407.9835,0.1,-1230.986,4474.726,1062.149,3573.04,309.6479,2200.003,664.3015,1378.851,37.9494,1271.43,108.9251,1907.263,283.1857,370.6311,-149.9999,87.49976,-906.7648,-21.19129,21.14053,-4.337045,-291.2884,51.32497,180.8128,-37.53437,4923,944.5606,-314.9633,-287.0901,182.3133,575.1123,-799.9993,8114.963,-206.9494,-953.5692,5213.195,903.3898,-14.72696,102.4956,849.7094,-144.5624,40.73211,-56.00013,1050.401,87.91431,-337.8133,577.2446,165.9365,806.919,295.3121,-113.086,113.9468,12.77924,100.2239,259.0852,243.0309,166.8663,-282.9625
1/1/2034,4,OffPeak,0,8.856197,-1062.005,472.6859,1538.772,1695.617,1479.453,1063.357,1362.487,453.336,18.12134,0,361.175,0,323.8929,2488.2,-343.0298,73.78123,20.70318,100.48,256.916,45.04863,71.00407,1095.345,-1363.4,-0.001,66.58144,83.77006,-5.447975E-04,58.1381,-1051.847,-44.36153,0.1323671,89.51572,445.0461,2.308181,-77.84987,-114.619,-245.2148,-10.95837,-480.3898,408.2114,408.8401,-18.16014,129.9808,-66.06432,-181.1029,-494.9073,-164.2598,-156.4054,32.72824,7.495718,114.0759,153.3349,231.0361,488.4229,0,777.2408,524.0399,-19.86876,-82.2161,453.2145,740.6555,7596.628,248.3903,79.79301,-799.9997,1697.562,76.81834,74.5869,-184.9782,276.1199,147.4048,-1363.4,7.20057,1589.943,-244.6012,88.46262,0,0,0,0,0,-35.71923,0,1695.617,1477.999,1063.357,-45.05514,650.758,0,288.0802,496.1109,-33.2975,1624.673,-276.4042,-280.1172,629.1485,-2.900028,-0.001,546.4772,0,-385.7493,688.8331,546.4762,1298.047,281.5905,885.0995,-319.0331,0.1,-1387.397,4344.688,943.1042,3457.114,319.0253,2200.003,725.1354,1086.613,77.87589,1222.18,119.2837,2069.336,351.5263,431.2559,-147.6957,89.89857,-381.4643,-46.67231,46.62583,75.85606,-73.88686,91.8786,251.8344,43.89415,3989.76,893.0739,-320.8676,-425.2871,154.8763,557.3919,-799.9997,7641.839,-287.6445,-903.1255,4268.308,870.621,-16.15001,132.9609,847.1454,-136.8533,32.31103,-56.00004,1023.143,122.7412,-9.98884E-04,650.758,-5.046511E-11,716.958,320.8361,-104.2807,47.86794,102.106,78.42133,205.4731,208.9751,556.2175,-325.3921
1/1/2034,5,OffPeak,0,21.91686,-980.1443,462.5836,1776.391,1813.043,1513.197,1053.342,1328.523,508.4536,17.71501,80,364.6348,0,624.96,1664,-131.9665,78.70551,-1.231737E-04,182.4781,259.6915,43.81758,70.6813,1092.871,-1276.296,125.0149,50.96939,80.39244,-4.303391E-05,70.46801,-1157.21,1.827535E-03,-1.574705,85.91716,438.2474,1.249301,-87.73452,-84.43727,-237.8646,-12.29484,-521.9688,391.8725,385.6154,-18.16533,122.9836,-66.14612,-110.0387,-459.1241,-153.6795,-164.2883,31.32062,10.35459,114.0521,160.1856,287.6473,478.3362,0,730.7165,497.0325,-19.3572,-87.19824,467.8239,754.578,7566.987,262.8381,243.1093,-800.0001,1649.592,-3.046588E-03,37.05094,-176.9511,171.3353,90.74519,-1276.296,168.7094,1659.99,-240.5443,87.20387,0,0,0,0,0,-33.20609,0,1813.043,1511.723,1053.342,-98.42461,542.6723,0,272.9743,484.1961,-60.26624,1642.322,-267.6994,-188.1696,455.9623,2.338982,-3.785104,422.4445,0,-452.9701,786.0389,547.4594,1141.986,308.3482,842.3386,-110.496,0.1,-1297.767,4556.681,965.8774,3505.484,322.9998,2200.006,879.2094,1141.015,79.02339,1389.287,82.62605,2281.278,319.5086,503.7974,-146.4385,86.89053,-418.278,-25.0245,51.24192,108.3941,-25.34458,97.7826,283.6328,36.47619,3960.733,928.135,-313.8711,-481.9266,148.0804,562.1749,-800.0001,7768.848,-273.8301,-819.6545,4241.168,829.2253,-16.15,112.465,783.8796,-139.0898,31.28884,-56.00005,1152.207,194.7805,125.0149,542.6723,-64.11249,643.4717,362.7217,-120.2278,51.07528,105.325,-59.22874,58.43599,198.4216,528.2897,-317.6227
1/1/2034,6,OffPeak,0,21.2122,-1120.36,447.3374,1726.908,1865.302,1475.006,1039.896,1218.518,482.0085,-13.08638,0,386.6804,0,535.1219,1820.219,75.81809,34.67926,-52.17648,-57.86532,177.3433,-32.69026,42.77619,1263.617,-1480.151,124.3867,36.88638,77.37242,-7.820851E-04,65.13406,-1331.197,-53.76617,3.819422,124.0771,558.1308,5.285421,-53.44319,-159.4256,-179.8079,-3.13044,-487.0462,375.1601,355.8124,-18.63448,43.70092,-67.88824,-216.1794,-445.6995,-346.3036,-126.7559,36.18949,12.54925,119.7392,155.2553,388.7109,468.8066,0,639.1823,522.0379,-20.08985,-108.7087,397.1206,645.0267,7785.249,266.3367,392.7488,-799.9995,1724.465,-60.32713,7.573624,-142.687,228.9325,118.9336,-1480.151,127.1339,1693.862,-323.6515,87.52963,0,0,0,0,0,-28.50305,0,1865.302,1473.487,1039.896,-65.55986,436.9805,0,318.592,552.0798,-31.63115,1726.258,-274.6211,-258.1046,555.2143,0,-4.413265,303.403,0,-414.8268,743.8288,427.7897,1096.36,326.6736,791.9996,96.0275,0.1,-1500.361,4648.695,1032.821,3622.11,343.7219,2200.004,822.7434,1253.894,28.78876,1313.696,105.4105,2253.513,274.469,473.2074,-144.496,83.65907,-592.6385,30.28068,27.6767,174.3241,-43.94763,56.90014,327.131,-38.31765,4873.298,761.9135,-267.3582,-502.733,94.55431,558.3583,-799.9995,7982.719,-289.9282,-740.8271,4660.813,780.4078,-16.15001,101.2275,801.6878,-143.4363,31.36071,-56.00013,1174.996,148.6833,124.3867,436.9805,-64.11249,615.2112,331.5097,-133.5775,73.28574,42.6697,-6.993939,138.6685,162.8963,426.2598,-380.0002
1/1/2034,7,OffPeak,0,46.15016,-1292.878,415.7101,1763.673,2138.026,1526.18,1046.292,1089.919,452.6225,-51.57695,80,416.2042,0,371.07,1688.202,-62.14333,-44.39539,-20.47464,23.26937,90.86028,-132.6486,0.095462,1314.741,-1654.638,430.7522,-41.61932,68.14893,129.3337,32.98313,-1149.885,-180.5638,-1.256439,177.3046,573.391,7.108468,-10.71127,-214.8863,-289.6162,-85.48976,-494.0769,348.2621,306.8011,-19.57865,34.1642,-22.13221,-165.8124,-314.4116,-341.0106,-63.82532,52.84206,4.11552,129.0581,153.9263,435.7006,629.2451,0,543.119,593.1127,-15.69324,-142.997,242.9776,624.5918,7783.252,256.1731,696.3593,-799.9993,1821.26,-250.3683,-91.30714,-158.6665,77.22609,44.78725,-1654.638,418.4776,1746.944,-337.243,89.37107,0,0,0,0,0,-19.54849,0,2138.026,1524.587,1046.292,-68.52814,120.0895,0,360.6889,587.2927,-31.10135,1843.649,-290.6482,-332.9809,668.9119,9.399986,-10.00001,-87.66644,0,-528.7224,918.8714,343.0857,824.3225,355.9242,849.3995,-43.90291,0.1,-1672.878,4846.206,994.2632,3756.231,361.8811,2200.003,1097.522,1815.763,-50.05526,1558.267,51.99158,2315.424,56.22897,460.3625,-143.733,73.75023,-1198.247,-0.9890927,0.9444972,167.3803,-190.639,18.70086,310.1783,-126.8006,4947.99,805.8444,-315.9259,-397.6833,122.4409,584.7706,-799.9993,7981.171,-293.9751,-904.0638,4788.042,836.064,-11.78042,88.62592,709.2131,-151.5913,36.87917,-56.00003,1314.407,162.3805,430.7522,120.0895,-217.0054,591.6123,402.6447,-207.7558,101.8205,-37.91985,-159.0827,-96.07607,176.907,316.0586,-380.0008
1/1/2034,8,OffPeak,0,64.36243,-1302.343,317.6927,1472.21,1966.319,1405.997,904.9785,413.5313,491.4307,-115.1968,0,344.7433,0,278.3025,945.3793,60.50736,-125.3283,42.11921,598.5912,-3.715987E-04,-179.1362,-46.46609,867.2659,-1665.392,-243.7005,-89.18594,56.60592,386.7838,-32.33339,-868.8022,-484.0509,-32.35506,-42.75726,823.9531,13.93081,42.96741,-230.8592,-135.4048,7.231267,-500.5728,168.638,304.6225,-22.80952,-151.6357,-98.99604,12.2648,-713.0993,-99.33882,-74.86211,34.84229,6.926633,18.08275,257.7703,257.6461,609.4699,0,835.3738,391.9557,-153.4475,-26.69637,182.4125,-348.5595,7212.923,295.765,-104.7088,-799.9993,1904.184,-493.251,-225.2237,-111.7523,-36.96055,1.293533,-1665.392,583.9006,1025.362,-566.5816,92.26598,0,0,0,0,0,-35.85051,0,1966.319,1404.322,904.9785,-264.8702,-169.4285,0,324.5645,655.0848,-146.3468,1635.324,-271.9458,-296.5884,652.9485,7.380915,-10,-436.9492,0,-596.3774,1049.391,-678.5823,657.5869,447.821,943.3804,77.31571,0.1,-1682.344,5093.159,1223.647,4109.538,286.0375,1457.052,1295.659,3166.904,-139.944,1688.806,-63.48762,2030.453,-467.4112,320.0741,-143.5421,64.56938,-2068.005,-59.43041,-38.49698,14.98921,-558.2272,-13.20947,141.2175,-203.379,6156.816,872.1523,-0.2584057,-18.35047,237.5709,597.383,-799.9994,7948.136,58.12956,-1193.513,4990.35,928.4395,0.1315019,31.69078,626.8483,-69.60033,30.12038,-56.00009,1061.428,285.4291,-241.6331,-169.4285,116.8503,397.8038,445.4612,-267.5209,81.22779,-151.541,-199.9967,-264.0743,128.5607,3.328225,-380.0009
1/1/2034,9,OffPeak,0,70.25842,-1373.69,100.1505,1708.8,1692.052,1489.517,921.6724,-237.853,709.6265,-58.00261,0,383.7903,0,389.6235,1037.4,174.7478,-43.3905,1.241364,481.9919,38.02656,-79.7368,12.88533,759.5588,-1738.472,-1010.395,-130.6129,73.03992,1018.59,31.27122,-1665.476,-338.8831,-16.86992,-645.502,843.6651,-27.62091,-8.142059,-400.0245,-228.8806,176.3876,-1380.765,-131.9201,315.2574,-22.8099,-122.4562,-154.9221,-103.3497,-1432.873,-460.533,-296.271,16.34644,8.223847,14.58395,140.3413,-1192.085,532.6116,0,1635.288,-233.6883,-406.3974,-131.4536,814.4106,-460.2698,3195.147,359.6998,-1015.248,-753.2859,1986.744,-62.53907,-17.26442,-111.4939,-112.952,-15.66591,-1738.472,786.0919,1370.159,-649.0275,94.21352,0,0,0,0,0,-46.59845,0,1692.052,1487.785,921.6724,-390.7968,468.3173,0,337.372,707.9586,-193.144,1773.377,-261.188,-295.157,680.9799,3.014374,9.99999,183.3169,0,-661.5923,1098.105,-791.6828,929.4462,506.521,891.0139,189.9655,0.1,-1753.69,5330.833,889.7987,4561.465,354.9758,1751.132,1371.79,4127.488,-62.68973,1773.641,-64.50121,1885.595,-561.3083,370.661,-145.4836,81.80785,-3010.835,-10.78871,-36.27035,147.0973,-319.549,-7.947523,200.9043,-124.0242,6283.221,266.5598,-59.14187,-168.2084,46.59399,651.6256,-753.2859,5830.037,-301.9712,-1501.24,1738.065,879.4893,-2.832589,147.7021,560.3657,23.24699,10.54848,-56.00008,691.6678,797.4781,-974.9997,468.3173,510.1975,259.6207,504.7451,-285.0002,-92.11922,-122.8275,-199.9977,-449.1242,126.7115,-288.393,-380.0008
1/1/2034,10,OffPeak,0,77.20063,-1149.29,214.3529,1847.612,1810.165,1482.103,897.5069,-507.8127,767.3427,25.63159,0,426.6138,0,540.0045,1437.8,332.8038,-41.77304,84.65998,82.75706,163.7837,171.9322,92.25925,988.2392,-1510.623,-1010.395,-126.5799,73.16931,982.8649,49.32756,-1499.545,-237.5586,18.61279,-212.9012,636.1119,-11.43841,168.0233,-598.2093,-14.43793,161.518,-1272.477,-40.34389,347.5941,-31.49248,-7.600995,-142.3295,-435.2222,-1410.627,-464.5428,-452.5633,63.88541,38.55054,15.1278,182.4879,-177.4955,320.7012,0,899.9891,-118.7836,-338.4408,-112.4299,582.1767,-413.8252,5100.643,290.448,-189.1137,-622.8884,1932.438,-27.99315,17.08622,-112.5402,-114.1856,0.6897425,-1510.623,794.4208,1753.552,-502.8203,95.12219,0,0,0,0,0,-42.10639,0,1810.165,1480.332,897.5069,-514.4656,515.4879,0,293.0708,601.3008,-284.0526,1917.871,-236.783,-164.3007,490.6484,-8.383131,-9.99999,230.4864,0,-652.242,1097.77,-744.5133,821.2507,542.2838,944.3827,350.3195,0.1,-1529.29,5654.438,1162.612,4722.181,387.0619,2200.006,1413.69,3058.889,-56.272,1786.86,-58.12268,2117.31,-372.6429,451.3114,-147.956,81.08195,-1171.376,-97.98888,-1.238213,149.3139,-78.37492,44.85526,269.3617,121.4962,5178.58,742.935,-186.3513,-391.1366,139.577,584.7302,-622.8884,7347.026,-305.1777,-1612.196,3714.423,933.9845,-14.58394,234.1178,439.7805,109.4748,21.98393,-56.00011,1159.783,503.7629,-974.9997,515.4879,500.1975,204.3698,479.2537,-285.0014,-33.53825,14.35264,-199.998,-518.7266,130.056,-326.205,-380.0006
